id,planid,lokplan_id,komnr,kommunenavn,lp_plannr,lp_plannavn,datovedt,bygkunifelt,bygvejledende,doklink
1415538,12121792,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415539,12121793,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1350257,9505391,1063565,779,Skive,108,Jordbrugsparceller ved Villaparken i Balling,19990127,true,true,https://dokument.plandata.dk/20_1063565_DRAFT_1198233213760.pdf
1350334,9505495,1061272,779,Skive,18,Erhvervsområde i Breum,19860513,true,true,https://dokument.plandata.dk/20_1061272_DRAFT_1197633396944.pdf
1350335,9505416,1061272,779,Skive,18,Erhvervsområde i Breum,19860513,true,true,https://dokument.plandata.dk/20_1061272_DRAFT_1197633396944.pdf
1359381,9505318,1066728,779,Skive,76,"Erhvervsområde, K.E. Møbler",19940215,true,true,https://dokument.plandata.dk/20_1066728_DRAFT_1200038769843.pdf
1359382,9505317,1066728,779,Skive,76,"Erhvervsområde, K.E. Møbler",19940215,true,true,https://dokument.plandata.dk/20_1066728_DRAFT_1200038769843.pdf
1359383,9505319,1066728,779,Skive,76,"Erhvervsområde, K.E. Møbler",19940215,true,true,https://dokument.plandata.dk/20_1066728_DRAFT_1200038769843.pdf
1359384,9563190,1080557,779,Skive,BPV nr. 5,Partiel Byplanvedtægt nr. 5,19721019,true,true,https://dokument.plandata.dk/20_1080557_DRAFT_1208526846571.pdf
1359385,9563191,1080557,779,Skive,BPV nr. 5,Partiel Byplanvedtægt nr. 5,19721019,true,true,https://dokument.plandata.dk/20_1080557_DRAFT_1208526846571.pdf
1381655,9551803,2678558,779,Skive,259,Ny boligbebyggelse ved Møllekrogen i Dommerby,20140128,true,true,https://dokument.plandata.dk/20_2678558_1391152701822.pdf
1381656,9551804,2678558,779,Skive,259,Ny boligbebyggelse ved Møllekrogen i Dommerby,20140128,true,true,https://dokument.plandata.dk/20_2678558_1391152701822.pdf
1368193,9609294,9609292,479,Svendborg,001.319 tillæg nr. 1,Indgangsparti til Hotel Svendborg,20190625,true,true,https://dokument.plandata.dk/20_9609292_1562149806541.pdf
1368202,10901386,10901377,479,Svendborg,670,"For en udvidelse af eksisterende dagligvarebutik, Mølmarksvej",20211209,true,true,https://dokument.plandata.dk/20_10901377_1639124920256.pdf
1365239,10498080,10498079,540,Sønderborg,7.2-3,"Butiksområde ved Sundsnæs, Gråsten",20210624,true,true,https://dokument.plandata.dk/20_10498079_1624614134332.pdf
1365581,11240297,11240279,787,Thisted,1-049,"Butik og erhverv på Østerbakken 56-64, Thisted",20230829,true,true,https://dokument.plandata.dk/20_11240279_1693820920165.pdf
1332374,11040088,11026913,575,Vejen,320,Udvidelse af centerområde ved Østergade i Rødding,20220613,true,true,https://dokument.plandata.dk/20_11026913_1655363726715.pdf
1333461,9479401,179604,575,Vejen,42+Til,Område i Vejen Bycenter,19860113,true,true,https://dokument.plandata.dk/20_179604_1491473290458.pdf
1333462,9479402,179604,575,Vejen,42+Til,Område i Vejen Bycenter,19860113,true,true,https://dokument.plandata.dk/20_179604_1491473290458.pdf
1333463,9479403,179604,575,Vejen,42+Til,Område i Vejen Bycenter,19860113,true,true,https://dokument.plandata.dk/20_179604_1491473290458.pdf
1333464,9479404,179604,575,Vejen,42+Til,Område i Vejen Bycenter,19860113,true,true,https://dokument.plandata.dk/20_179604_1491473290458.pdf
1333465,9479405,179604,575,Vejen,42+Til,Område i Vejen Bycenter,19860113,true,true,https://dokument.plandata.dk/20_179604_1491473290458.pdf
1353639,9453475,1218726,630,Vejle,1070,"Erhvervsområde ved Jellingvej og Hover Kirkevej, Vejle",20091216,true,true,https://dokument.plandata.dk/20_1218726_PROPOSAL_1262685905897.pdf
1353640,9453476,1218726,630,Vejle,1070,"Erhvervsområde ved Jellingvej og Hover Kirkevej, Vejle",20091216,true,true,https://dokument.plandata.dk/20_1218726_PROPOSAL_1262685905897.pdf
1365401,9465575,1317724,630,Vejle,201,"Boligområde ved Vestre Engvej, Sønderå, Boulevarden, Vejle",20070206,true,true,https://dokument.plandata.dk/20_1317724_APPROVED_1259155731631.pdf
1365402,9465576,1317724,630,Vejle,201,"Boligområde ved Vestre Engvej, Sønderå, Boulevarden, Vejle",20070206,true,true,https://dokument.plandata.dk/20_1317724_APPROVED_1259155731631.pdf
1365403,9465577,1317724,630,Vejle,201,"Boligområde ved Vestre Engvej, Sønderå, Boulevarden, Vejle",20070206,true,true,https://dokument.plandata.dk/20_1317724_APPROVED_1259155731631.pdf
1365404,9465579,1317724,630,Vejle,201,"Boligområde ved Vestre Engvej, Sønderå, Boulevarden, Vejle",20070206,true,true,https://dokument.plandata.dk/20_1317724_APPROVED_1259155731631.pdf
1365405,9465582,1317724,630,Vejle,201,"Boligområde ved Vestre Engvej, Sønderå, Boulevarden, Vejle",20070206,true,true,https://dokument.plandata.dk/20_1317724_APPROVED_1259155731631.pdf
