"File","Line","Rule","Msg"
"packages/input-host/src/OpeningTool.ts","30","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/input-host/src/SelectionManager.ts","3","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/input-host/src/operations/ReferenceEditTool.ts","146","no-empty","Empty block statement"
"packages/input-host/src/operations/ReferenceEditTool.ts","160","no-empty","Empty block statement"
"packages/input-host/src/types.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/ordinance-extraction/src/ingest/normalize.ts","96","no-irregular-whitespace","Irregular whitespace not allowed"
"packages/ordinance-extraction/src/ingest/normalize.ts","97","no-irregular-whitespace","Irregular whitespace not allowed"
"packages/ordinance-extraction/src/ingest/normalize.ts","97","no-misleading-character-class","Unexpected joined character sequence in character class"
"packages/ordinance-extraction/src/ingest/normalize.ts","97","no-irregular-whitespace","Irregular whitespace not allowed"
"packages/persistence-client/src/loader/ProjectLoader.ts","1081","no-empty","Empty block statement"
"packages/renderer-three/src/RendererHandle.ts","16","pryzm/no-three-outside-committer","`three` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/adapters/WebGLRendererAdapter.ts","15","pryzm/no-three-outside-committer","`three` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/adapters/WebGPURendererAdapter.ts","26","pryzm/no-three-outside-committer","`three` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/adapters/WebGPURendererAdapter.ts","135","pryzm/no-three-outside-committer","`three/webgpu` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/geospatial/CesiumThreeBridge.ts","18","pryzm/no-three-outside-committer","`three` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
