cd,municipio,n,NM_ALTURA,NM_N_PLTA,NM_OCP_MX,NM_FDO_MX_ED,NM_RTR_FRNT,NM_RTR_LATL,NM_RTR_POST,NM_C_ED_ORD,NM_APRV_BC,footprintAny,heightAndFootprint
175,"VILLAMANTILLA",103,100.00,100.00,46.60,36.89,54.37,63.11,100.00,0.00,0.00,100.00,83.50
095,"NAVALAGAMELLA",103,0.00,77.67,90.29,78.64,0.00,0.00,0.00,28.16,0.00,90.29,77.67
138,"LA SERNA DEL MONTE",102,37.25,37.25,51.96,0.00,26.47,26.47,26.47,26.47,0.00,51.96,37.25
128,"ROZAS DE PUERTO REAL",101,25.74,100.00,100.00,0.00,25.74,25.74,25.74,12.87,0.00,100.00,100.00
070,"HORCAJO DE LA SIERRA-AOSLOS",101,100.00,43.56,75.25,65.35,21.78,21.78,21.78,69.31,0.00,93.07,91.09
126,"ROBREGORDO",94,62.77,62.77,62.77,0.00,28.72,0.00,0.00,55.32,0.00,62.77,62.77
147,"TITULCIA",93,97.85,92.47,97.85,18.28,5.38,23.66,23.66,97.85,0.00,97.85,97.85
016,"EL ATAZAR",91,27.47,27.47,27.47,27.47,0.00,0.00,0.00,27.47,0.00,27.47,27.47
071,"HORCAJUELO DE LA SIERRA",90,83.33,83.33,6.67,0.00,6.67,6.67,6.67,63.33,0.00,6.67,6.67
069,"LA HIRUELA",90,17.78,50.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00
024,"BRAOJOS",87,48.28,50.57,40.23,21.84,18.39,18.39,0.00,40.23,0.00,40.23,40.23
076,"LOZOYA",84,86.90,2.38,52.38,0.00,53.57,90.48,90.48,1.19,0.00,90.48,51.19
048,"CORPA",80,100.00,82.50,82.50,35.00,52.50,37.50,52.50,100.00,0.00,100.00,82.50
146,"TIELMES",76,0.00,98.68,98.68,0.00,0.00,0.00,0.00,51.32,0.00,98.68,98.68
117,"PRÁDENA DEL RINCÓN",73,83.56,83.56,60.27,0.00,24.66,24.66,24.66,60.27,0.00,60.27,60.27
121,"REDUEÑA",71,98.59,98.59,60.56,21.13,39.44,73.24,85.92,59.15,0.00,85.92,59.15
039,"CERVERA DE BUITRAGO",70,52.86,52.86,38.57,25.71,12.86,0.00,0.00,38.57,0.00,38.57,38.57
110,"PERALES DE TAJUÑA",70,0.00,94.29,91.43,0.00,0.00,0.00,0.00,28.57,0.00,91.43,85.71
163,"VALDEPIÉLAGOS",58,86.21,86.21,86.21,29.31,37.93,56.90,86.21,86.21,0.00,86.21,86.21
020,"BERZOSA DEL LOZOYA",57,50.88,50.88,0.00,0.00,29.82,50.88,29.82,50.88,0.00,50.88,0.00
116,"POZUELO DEL REY",56,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00
064,"GASCONES",53,83.02,83.02,43.40,0.00,22.64,24.53,69.81,35.85,0.00,83.02,43.40
082,"MANZANARES EL REAL",50,0.00,92.00,92.00,0.00,0.00,0.00,0.00,90.00,0.00,92.00,92.00
078,"MADARCOS",49,44.90,77.55,0.00,0.00,44.90,44.90,8.16,8.16,0.00,44.90,0.00
003,"ALAMEDA DEL VALLE",42,92.86,92.86,92.86,0.00,23.81,23.81,23.81,0.00,0.00,92.86,92.86
028,"BUSTARVIEJO",42,28.57,66.67,66.67,0.00,28.57,28.57,9.52,38.10,0.00,66.67,66.67
112,"PINILLA DEL VALLE",28,100.00,100.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00
902,"PUENTES VIEJAS",17,0.00,76.47,76.47,0.00,0.00,0.00,0.00,52.94,0.00,76.47,76.47
094,"NAVALAFUENTE",17,0.00,100.00,100.00,0.00,0.00,0.00,0.00,94.12,0.00,100.00,100.00
063,"GARGANTILLA DEL LOZOYA Y PINILLA DE BUITRAGO",8,0.00,100.00,100.00,0.00,0.00,0.00,0.00,62.50,0.00,100.00,100.00
168,"EL VELLÓN",6,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,100.00
062,"GARGANTA DE LOS MONTES",3,0.00,100.00,33.33,0.00,0.00,0.00,0.00,100.00,0.00,33.33,33.33
