ine,name,pop
37275,Saldeana,96.0
30021,Fuente Álamo de Murcia,19171.0
38050,Vallehermoso,2938.0
31186,Odieta,367.0
37351,Villaflores,255.0
16016,Almendros,240.0
16022,Arcos de la Sierra,77.0
48034,Ermua,15516.0
48002,Abanto y Ciérvana,9379.0
35029,Tinajo,6939.0
23002,Alcalá la Real,21496.0
06015,Badajoz,150209.0
40028,Bercial,102.0
37356,Villar de Argañán,95.0
16078,Cuenca,53600.0
48032,Elorrio,7277.0
48091,Valle de Achondo,1342.0
23039,Guarromán,2703.0
23012,Beas de Segura,4983.0
40039,Campo de San Pedro,257.0
16905,Arcas,2332.0
10037,Cáceres,96651.0
48092,Bedia,1111.0
06901,Valdelacalzada,2743.0
28138,La Serna del Monte,110.0
46104,Cuatretonda,2174.0
16027,Barajas de Melo,1011.0
16012,Alconchel de la Estrella,75.0
37357,Villar de Ciervo,253.0
37288,San Morales,346.0
31162,Marañón,50.0
28021,El Berrueco,795.0
48023,Castillo y Elejabeitia,743.0
48016,Berango,8242.0
06058,La Garrovilla,2310.0
01004,Arceniega,1868.0
13904,Llanos del Caudillo,651.0
37077,El Campo de Peñaranda,241.0
23050,Jaén,112235.0
10196,Valdastillas,332.0
09247,Palacios de Riopisuerga,19.0
46011,Alberique,11099.0
46164,Masamagrell,17566.0
26034,Briones,752.0
45188,Villaluenga de la Sagra,4308.0
40045,Casla,155.0
23011,Baños de la Encina,2542.0
03096,Onil,8114.0
28115,Pozuelo de Alarcón,89770.0
10038,Cachorrilla,83.0
16008,Alcalá de la Vega,80.0
16014,Aliaguilla,594.0
05174,Orbita,70.0
41068,Osuna,17396.0
46208,Rafelcofer,1409.0
30013,Calasparra,10391.0
48915,Cenarruza,401.0
29082,Rincón de la Victoria,52454.0
44027,Arens de Lledó,181.0
11023,Medina Sidonia,11838.0
37359,Villar de la Yegua,151.0
37330,Valdecarros,296.0
11012,Cádiz,109950.0
05019,Ávila,59107.0
45169,Torralba de Oropesa,186.0
16217,Tribaldos,101.0
05224,Santa María del Arroyo,103.0
47079,Llano de Olmedo,49.0
05014,Arenas de San Pedro,6460.0
46139,Guadasuar,6039.0
46085,Carlet,16857.0
29096,Villanueva del Rosario,3470.0
13901,El Robledo,1078.0
40194,Segovia,52375.0
37369,Villaseco de los Gamitos,138.0
37289,San Muñoz,192.0
01001,Alegría de Álava,2955.0
23006,Arjona,5330.0
46059,Benifairó de la Valldigna,1588.0
46143,Jaraco,6149.0
46074,Bonrepós y Mirambell,4115.0
37282,Sanchotello,206.0
37226,Palacios del Arzobispo,141.0
37263,Puerto de Béjar,342.0
37352,Villagonzalo de Tormes,212.0
31169,Milagro,3741.0
47230,Wamba,289.0
50251,Tarazona,10873.0
46219,Rugat,165.0
46090,Castellón de Rugat,2345.0
45166,Tembleque,1992.0
14058,Rute,9824.0
49034,Cañizal,410.0
09395,Tubilla del Agua,126.0
38021,Hermigua,1961.0
47159,Serrada,1117.0
14056,Puente Genil,29963.0
40005,Alconada de Maderuelo,23.0
45011,Almendral de la Cañada,341.0
48035,Frúniz,591.0
18134,Monachil,8664.0
18132,Moclín,3503.0
06087,Monterrubio de la Serena,2157.0
13046,Guadalmez,709.0
49029,Burganes de Valverde,593.0
16276,Yémeda,18.0
09216,Merindad de Valdeporres,412.0
46075,Bufali,162.0
28127,Las Rozas de Madrid,99037.0
37016,Aldealengua,730.0
22150,Loporzano,576.0
37312,Sorihuela,255.0
37307,Serradilla del Llano,136.0
40145,Navas de Oro,1305.0
40161,Carabias,55.0
40186,Santa Marta del Cerro,45.0
31097,Estella,14317.0
34009,Amayuelas de Arriba,36.0
16177,Reillo,106.0
41083,El Ronquillo,1453.0
13007,Alcolea de Calatrava,1360.0
16017,Almodóvar del Pinar,401.0
16010,Alcázar del Rey,171.0
44181,Peralejos,89.0
10169,Santiago de Alcántara,454.0
